StationID,Name,Intervals,Year Start,Year End,Province
10977,LONGUE-POINTE-DE-MINGAN,"['Hourly', 'Daily']",1994,2024,QC
5243,LOUISEVILLE,"['Daily', 'Monthly']",1967,2024,QC
5604,LUSKVILLE,"['Daily', 'Monthly']",1980,2024,QC
5401,MAGOG,"['Daily', 'Monthly']",1948,2024,QC
5606,MANIWAKI AIRPORT,"['Hourly', 'Daily', 'Monthly']",1994,2024,QC
26798,MANOUANE EST,"['Hourly', 'Daily']",1994,2024,QC
5406,MARIEVILLE,"['Daily', 'Monthly']",1960,2024,QC
10791,MATAGAMI,"['Hourly', 'Daily']",1994,2024,QC
49491,MATAGAMI A,"['Hourly', 'Daily']",2011,2024,QC
10761,MCTAVISH,"['Hourly', 'Daily']",1994,2024,QC
10797,MISTOOK,"['Hourly', 'Daily']",1994,2024,QC
5988,MONT BRUN,"['Daily', 'Monthly']",1980,2024,QC
50841,MONT JOLI A,"['Hourly', 'Daily']",2013,2024,QC
43184,MONT STE-ANNE,['Daily'],2005,2024,QC
54118,MONT-JOLI,"['Hourly', 'Daily']",2015,2024,QC
51157,MONTREAL INTL A,"['Hourly', 'Daily']",2013,2024,QC
49608,MONTREAL MIRABEL INTL A,"['Hourly', 'Daily']",2012,2024,QC
30165,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,"['Hourly', 'Daily']",2008,2024,QC
48374,MONTREAL/ST-HUBERT,"['Hourly', 'Daily']",2009,2024,QC
54938,NANTES,"['Hourly', 'Daily']",2019,2024,QC
48971,NATASHQUAN A,"['Hourly', 'Daily']",2010,2024,QC
30168,NATASHQUAN AIRPORT,"['Hourly', 'Daily']",2008,2024,QC
10898,NEW CARLISLE 1,"['Hourly', 'Daily']",1994,2024,QC
54559,NEW RICHMOND EAST,"['Hourly', 'Daily']",2017,2024,QC
10732,NICOLET,"['Hourly', 'Daily']",1994,2024,QC
10872,NORMANDIN,"['Hourly', 'Daily']",1994,2024,QC
5619,NOTRE DAME DE LA PAIX,"['Daily', 'Monthly']",1979,2024,QC
5248,OKA,"['Daily', 'Monthly']",1937,2024,QC
27294,ONATCHIWAY,"['Hourly', 'Daily']",1997,2024,QC
5429,ORMSTOWN,"['Daily', 'Monthly']",1962,2024,QC
48228,PARC NATIONAL DES PINGUALUIT,"['Hourly', 'Daily']",2009,2024,QC
5966,PARENT,"['Hourly', 'Daily', 'Monthly']",1953,2024,QC
5432,PIERREVILLE,"['Daily', 'Monthly']",1980,2024,QC
10964,POINTE CLAVEAU,"['Hourly', 'Daily']",1994,2024,QC
10966,POINTE DE L'ISLET,"['Hourly', 'Daily']",1994,2024,QC
27326,POINTE NOIRE CS,"['Hourly', 'Daily']",1997,2024,QC
27194,POINTE-AU-PERE (INRS),"['Hourly', 'Daily']",1996,2024,QC
9029,POINTE-DES-MONTS,"['Hourly', 'Daily']",1994,2024,QC
8536,PORT-MENIER,"['Hourly', 'Daily']",1994,2024,QC
52038,PUVIRNITUQ A,"['Hourly', 'Daily']",2014,2024,QC
51457,QUEBEC INTL A,"['Hourly', 'Daily']",2013,2024,QC
26892,QUEBEC/JEAN LESAGE INTL,"['Hourly', 'Daily', 'Monthly']",2005,2024,QC
5440,RICHMOND,"['Daily', 'Monthly']",1871,2024,QC
5252,RIGAUD,"['Daily', 'Monthly']",1963,2024,QC
5836,RIMOUSKI,"['Daily', 'Monthly']",1952,2024,QC
5650,RIVIERE AU TONNERRE,"['Daily', 'Monthly']",1965,2024,QC
44143,RIVIERE AUX FEUILLES,"['Hourly', 'Daily']",2005,2024,QC
5441,RIVIERE DES PRAIRIES,"['Daily', 'Monthly']",1973,2024,QC
5254,RIVIERE VERTE OUEST,"['Daily', 'Monthly']",1966,2024,QC
8539,RIVIERE-DU-LOUP,"['Hourly', 'Daily']",1994,2024,QC
10849,ROUYN,"['Hourly', 'Daily']",1994,2024,QC
50090,ROUYN-NORANDA A,"['Hourly', 'Daily']",2012,2024,QC
5861,SAINT MICHEL,"['Daily', 'Monthly']",1978,2024,QC
55158,SAINT-CAMILLE-DE-LELLIS,"['Hourly', 'Daily']",2020,2024,QC
47587,SAINT-GERMAIN-DE-GRANTHAM,"['Hourly', 'Daily']",2008,2024,QC
48188,SAINT-MICHEL-DES-SAINTS,"['Hourly', 'Daily']",2009,2024,QC
52378,SALLUIT,"['Hourly', 'Daily']",2014,2024,QC
5526,SAWYERVILLE NORD,"['Daily', 'Monthly']",1961,2024,QC
49649,SCHEFFERVILLE A,"['Hourly', 'Daily']",2012,2024,QC
54878,SCHEFFERVILLE COTE-NORD,"['Hourly', 'Daily']",2019,2024,QC
5527,SCOTT,"['Daily', 'Monthly']",1950,2024,QC
42683,SEPT-ILES,"['Hourly', 'Daily', 'Monthly']",2002,2024,QC
52199,SEPT-ILES A,"['Hourly', 'Daily']",2014,2024,QC
27646,SHAWINIGAN,"['Hourly', 'Daily']",1999,2024,QC
48371,SHERBROOKE,"['Hourly', 'Daily']",2009,2024,QC
5532,SOREL,"['Daily', 'Monthly']",1914,2024,QC
5255,ST ALBAN,"['Daily', 'Monthly']",1949,2024,QC
5256,ST ALEXIS DES MONTS,"['Daily', 'Monthly']",1963,2024,QC
5936,ST AMBROISE,"['Daily', 'Monthly']",1954,2024,QC
5448,ST ANICET,"['Daily', 'Monthly']",1960,2024,QC
5452,ST BERNARD DE LACOLLE,"['Daily', 'Monthly']",1973,2024,QC
5846,ST CAMILLE,"['Daily', 'Monthly']",1963,2024,QC
5300,ST CAMILLE WOLFE,"['Daily', 'Monthly']",1975,2024,QC
5262,ST CHARLES DE MANDEVILLE,"['Daily', 'Monthly']",1921,2024,QC
5457,ST COME DE LINIERE,"['Daily', 'Monthly']",1965,2024,QC
5462,ST EPHREM,"['Daily', 'Monthly']",1929,2024,QC
5485,ST GEORGES,"['Daily', 'Monthly']",1963,2024,QC
5630,ST HIPPOLYTE,"['Daily', 'Monthly']",1961,2024,QC
5492,ST HYACINTHE 2,"['Daily', 'Monthly']",1963,2024,QC
55461,ST JEAN,"['Hourly', 'Daily']",2023,2024,QC
5857,ST JEAN DE CHERBOURG,"['Daily', 'Monthly']",1963,2024,QC
5631,ST JEROME,"['Daily', 'Monthly']",1932,2024,QC
5500,ST LUDGER,"['Daily', 'Monthly']",1964,2024,QC
5502,ST MALO D AUCKLAND,"['Daily', 'Monthly']",1949,2024,QC
5969,ST MICHEL DES SAINTS,"['Daily', 'Monthly']",1966,2024,QC
5281,ST NARCISSE,"['Daily', 'Monthly']",1973,2024,QC
5509,ST PIERRE DE BROUGHTON,"['Daily', 'Monthly']",1965,2024,QC
5940,ST PRIME,"['Daily', 'Monthly']",1980,2024,QC
5510,ST PROSPER,"['Daily', 'Monthly']",1963,2024,QC
5516,ST SEVERIN,"['Daily', 'Monthly']",1964,2024,QC
10982,ST-ANICET 1,"['Hourly', 'Daily']",1994,2024,QC
10868,ST-JOVITE,"['Hourly', 'Daily']",1994,2024,QC
5257,STE ANNE DE LA PERADE,"['Daily', 'Monthly']",1949,2024,QC
5627,STE ANNE DU LAC,"['Daily', 'Monthly']",1963,2024,QC
5259,STE BEATRIX,"['Daily', 'Monthly']",1974,2024,QC
5266,STE CHRISTINE,"['Daily', 'Monthly']",1950,2024,QC
5858,STE LUCIE,"['Daily', 'Monthly']",1963,2024,QC
5503,STE MARTINE,"['Daily', 'Monthly']",1963,2024,QC
10873,STE-ANNE-DE-BELLEVUE 1,"['Hourly', 'Daily']",1994,2024,QC
10762,STE-CLOTILDE,"['Hourly', 'Daily']",1994,2024,QC
27377,STE-FOY (U. LAVAL),"['Hourly', 'Daily']",1996,2024,QC
5542,THETFORD MINES,"['Daily', 'Monthly']",1960,2024,QC
45309,THETFORD MINES RCS,"['Hourly', 'Daily']",2006,2024,QC
51698,TROIS RIVIERES A,"['Hourly', 'Daily']",2013,2024,QC
52138,TROIS RIVIERES A-2,['Daily'],2014,2024,QC
30172,VAL-D'OR,"['Hourly', 'Daily']",2008,2024,QC
5293,VALCARTIER A,"['Hourly', 'Daily', 'Monthly']",1978,2024,QC
5564,VERCHERES,"['Daily', 'Monthly']",1963,2024,QC
5642,WRIGHT,"['Daily', 'Monthly']",1967,2024,QC
42967,ALGONQUIN PARK EAST GATE,"['Hourly', 'Daily', 'Monthly']",2004,2024,ON
4607,AMHERSTBURG,"['Daily', 'Monthly']",1988,2024,ON
6901,APPLETON,"['Daily', 'Monthly']",1992,2024,ON
3987,ARMSTRONG (AUT),"['Hourly', 'Daily', 'Monthly']",1953,2024,ON
52900,ARMSTRONG A,"['Hourly', 'Daily']",2015,2024,ON
10220,ATIKOKAN (AUT),"['Hourly', 'Daily', 'Monthly']",1994,2024,ON
52918,ATTAWAPISKAT A,"['Hourly', 'Daily']",2015,2024,ON
43540,BALDWIN,"['Daily', 'Monthly']",2004,2024,ON
26799,BANCROFT AUTO,"['Hourly', 'Daily', 'Monthly']",1995,2024,ON
50048,BARRIE LANDFILL,['Daily'],2011,2024,ON
42183,BARRIE-ORO,"['Hourly', 'Daily', 'Monthly']",2003,2024,ON
3932,BARWICK,"['Daily', 'Monthly']",1978,2024,ON
44183,BEATRICE CLIMATE,"['Hourly', 'Daily', 'Monthly']",2005,2024,ON
4859,BELLEVILLE,"['Daily', 'Monthly']",1866,2024,ON
55238,BELLEVILLE QUINTE,"['Hourly', 'Daily']",2021,2024,ON
50857,BIG TROUT LAKE,"['Hourly', 'Daily']",2012,2024,ON
49488,BIG TROUT LAKE A,"['Hourly', 'Daily']",2011,2024,ON
4140,BONNER LAKE,"['Daily', 'Monthly']",1990,2024,ON
53378,BRANTFORD AIRPORT,"['Hourly', 'Daily']",2014,2024,ON
47567,BROCKVILLE CLIMATE,"['Hourly', 'Daily']",2008,2024,ON
7868,BURLINGTON PIERS (AUT),"['Hourly', 'Daily']",1994,2024,ON
27674,CAMERON FALLS (AUT),"['Hourly', 'Daily', 'Monthly']",2000,2024,ON
7582,CARIBOU ISLAND (AUT),"['Hourly', 'Daily']",1994,2024,ON
55360,CEDAR SPRINGS,"['Hourly', 'Daily']",2022,2024,ON
4898,CENTREVILLE,"['Daily', 'Monthly']",1985,2024,ON
4243,CHALK RIVER AECL,"['Daily', 'Monthly']",1960,2024,ON
55258,CHAPLEAU AIRPORT,"['Hourly', 'Daily']",2022,2024,ON
52118,CHATHAM KENT,"['Hourly', 'Daily']",2014,2024,ON
7870,COBOURG (AUT),"['Hourly', 'Daily', 'Monthly']",1993,2024,ON
4905,COBOURG STP,"['Daily', 'Monthly']",1970,2024,ON
4432,COLDWATER WARMINSTER,"['Daily', 'Monthly']",1971,2024,ON
4255,CORNWALL,"['Daily', 'Monthly']",1950,2024,ON
27528,DELHI CS,"['Hourly', 'Daily', 'Monthly']",1999,2024,ON
